Year,Semester,Academic Year,CRN,Subject ,Course,Course Type,Credits,Title,Cap,Act,Instructor,Contact Hours,Faculty Type
2017,Fall,2017-2018,30147,CSIS,110,Both,0,Intro CS: Music Python-Lab,16,16,Scott L. Vandenberg (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30527,CSIS,110,Both,3,Intro CS:Music Python,32,28,Scott L. Vandenberg (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,33608,CSIS,110,Both,3,Mohan HS: Intro to CS,25,17,Scott L. Vandenberg (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30363,CSIS,114,IS,0,Management Information Sys-lab,16,16,Christopher M. Cramer (P),2.0,Adjunct
2017,Fall,2017-2018,30307,CSIS,114,IS,0,Management Information Sys-Lab,16,16,Christopher M. Cramer (P),2.0,Adjunct
2017,Fall,2017-2018,30362,CSIS,114,IS,3,Management Information Systems,32,32,Christopher M. Cramer (P),2.0,Adjunct
2017,Fall,2017-2018,30308,CSIS,114,IS,0,Management Information Sys-Lab,16,16,John J. Armitage (P),2.0,FT Visitor/Teaching
2017,Fall,2017-2018,30573,CSIS,114,IS,0,Management Information Sys-Lab,16,16,John J. Armitage (P),2.0,FT Visitor/Teaching
2017,Fall,2017-2018,30572,CSIS,114,IS,3,Management Information Systems,32,32,John J. Armitage (P),2.0,FT Visitor/Teaching
2017,Fall,2017-2018,32717,CSIS,114,IS,0,Management Information Sys-Lab,16,16,Eric A. Breimer (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30310,CSIS,114,IS,0,Management Information Sys-Lab,16,16,Eric A. Breimer (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30361,CSIS,114,IS,3,Management Information Systems - 30816 - CSIS 114 - 05,32,32,Eric A. Breimer (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30306,CSIS,114,IS,0,Management Information Sys-Lab,17,17,Jami L. Cotler (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,34266,CSIS,114,IS,0,Management Information Sys-Lab,16,16,Jami L. Cotler (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30300,CSIS,114,IS,3,Management Information Systems,33,33,Jami L. Cotler (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30365,CSIS,114,IS,0,Management Information Sys-lab,16,13,Ting Liu (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30364,CSIS,114,IS,0,Management Information Sys-lab,16,11,Ting Liu (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30309,CSIS,114,IS,3,CSIS-114: Management Information Systems,32,24,Ting Liu (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30943,CSIS,115,IS,3,Database Design and App fo Bus,16,15,Kurt C. Greiner (P),3.0,Adjunct
2017,Fall,2017-2018,33609,CSIS,115,IS,3,Database Design and App fo Bus,16,15,John J. Armitage (P),3.0,FT Visitor/Teaching
2017,Fall,2017-2018,31230,CSIS,115,IS,3,Database Design and App fo Bus,16,16,Pauline White (P),3.0,FT Visitor/Teaching
